Teff_key,Prot_key,logRHK_key,BV
6007,9.11,-5.0415,0.552745
5100,28.53,-4.9379,0.856538
5942,13.15,-4.7911,0.572937
6327,12.07,-4.8645,0.45642
6161,8.6,-4.929,0.505764
6323,5.86,-4.9919,0.457593
6125,9.72,-4.9546,0.516641
5957,14.19,-4.8098,0.568258
5743,15.97,-4.7407,0.636159
6080,8.97,-4.776,0.530327
5565,43.63,-4.9859,0.694593
5686,11.29,-4.6367,0.654672
5470,23.68,-5.0573,0.72655
5814,17.21,-4.9752,0.613355
6051,10.24,-4.9883,0.5392
5801,7.34,-4.6879,0.617509
6366,3.83,-4.9064,0.445014
6479,3.83,-4.9203,0.44
5284,7.45,-4.5691,0.790757
6003,11.57,-4.8943,0.553981
5839,17.84,-4.856,0.605391
5965,10.92,-4.9509,0.565767
6151,8.11,-4.7776,0.508779
5892,24.67,-4.8804,0.588621
5807,26.62,-4.4998,0.61559
6223,6.24,-4.8205,0.48718
5225,8.21,-4.5591,0.811597
5809,15.87,-5.0649,0.614951
6041,10.82,-4.9885,0.54227
5790,18.86,-5.0056,0.621032
5497,12.35,-4.5339,0.717411
5785,5.33,-4.6453,0.622635
5898,6.89,-4.6094,0.586732
5731,31.2,-4.8564,0.640041
6265,5.9,-4.7919,0.474696
6051,8.61,-4.6687,0.5392
5762,18.44,-4.9057,0.630029
5897,31.9,-4.8978,0.587046
5872,14.7,-4.9889,0.594931
6084,7.81,-4.7229,0.529106
6354,4.49,-4.944,0.448516
5813,35.16,-5.0281,0.613674
6185,8.14,-4.826,0.498548
6284,10.05,-4.8914,0.469076
6001,11.35,-4.8981,0.5546
6451,3.03,-4.7111,0.44
6414,3.47,-4.7196,0.44
5134,18.99,-4.741,0.844206
5651,13.9,-4.6411,0.666131
6124,9.92,-4.8452,0.516944
5796,18.58,-4.9986,0.61911
5343,26.85,-4.9163,0.770149
5646,10.61,-4.6082,0.667774
6126,9.37,-4.9199,0.516338
6183,4.88,-4.5861,0.499149
6342,3.0,-4.7881,0.452025
6020,12.48,-4.9695,0.548733
5661,20.07,-4.7675,0.66285
6398,5.09,-4.7806,0.44
5364,34.81,-4.927,0.762869
6129,8.1,-4.9263,0.515429
6081,15.86,-4.9847,0.530021
6359,4.89,-4.8005,0.447056
5626,16.42,-4.7533,0.67436
6343,6.3,-4.8037,0.451732
6079,10.35,-4.8583,0.530632
5798,16.87,-4.8327,0.618469
5569,20.09,-5.1361,0.69326
5086,25.4,-4.7304,0.86164
5707,21.06,-4.8103,0.64783
5948,13.63,-4.8693,0.571064
5696,18.48,-4.9365,0.65141
5859,17.01,-5.0876,0.599045
5557,21.04,-4.7701,0.697263
5992,4.1,-4.5965,0.557385
6220,10.44,-4.9879,0.488075
6438,5.01,-4.6739,0.44
6377,19.91,-4.7118,0.44181
6122,10.28,-5.0602,0.51755
5999,19.84,-4.9986,0.555219
5835,29.38,-5.0429,0.606663
6091,10.35,-5.0431,0.526972
6293,5.7,-4.743,0.46642
5563,19.1,-4.9899,0.69526
6447,3.62,-4.6378,0.44
5858,16.83,-4.8596,0.599362
5860,13.98,-4.7598,0.598728
5640,30.6,-4.9128,0.669747
5967,11.49,-4.8576,0.565145
6078,10.74,-4.955,0.530937
6262,6.95,-4.8678,0.475585
5492,18.73,-4.9233,0.7191
5801,18.98,-5.0121,0.617509
6477,2.51,-4.5382,0.44
5791,10.45,-4.602,0.620711
5617,17.26,-4.9322,0.677332
6036,19.91,-4.9954,0.543807
6343,16.39,-4.51,0.451732
