source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2053560482841892224,5793668,-4.8686,0.0096,11.51,6036,0.543807,-0.15,0.02,1.02,3.85,14.032847450821215,,0.8202184225501877,-0.08607048044961046,1018611.7017987339,622704.6076808593,395907.0941178746,5.597593283789698,0.6357863571820235,-0.1966887954903466,0.264
Ye2024,2053585565450552960,5792108,-4.5728,0.0118,13.33,5298,0.785846,0.14,0.02,0.92,6.01,16.339848430570573,,0.8157970409970644,-0.08841787425915153,1194701.8947548268,248307.1786960466,946394.7160587802,5.976072306859814,3.811386851675618,0.5810830314332679,-0.474
Ye2024,2053596904164155136,5876824,-4.7809,0.0097,9.61,6077,0.531243,0.0,0.02,1.12,1.67,12.171862643132958,,0.7895258336177254,-0.10263365512488007,1280762.7324229057,653144.2626143539,627618.4698085518,5.797695715695503,0.9609185990494207,-0.017313400553075373,0.305
Ye2024,2073620179154347776,5563209,-4.7388,0.0068,10.89,5859,0.599045,-0.1,0.01,0.98,5.05,14.894693714546571,,0.7311328590372103,-0.13600369731862055,1219286.3971222625,504842.2119928088,714444.1851294537,5.853968305853201,1.4151831367453689,0.15081264490020613,0.087
Ye2024,2073715218180578944,4944361,-4.9959,0.0104,7.17,6294,0.466125,0.01,0.02,1.24,1.71,10.377405303719263,,0.6909241559092109,-0.1605696233608516,898294.3972102153,836437.5224643346,61856.87474588072,4.791387973945441,0.07395277361976342,-1.1310455330238292,0.522
Ye2024,2073721918329986688,5207287,-4.6814,0.0053,12.25,5661,0.66285,0.16,0.01,1.04,2.43,13.628989336448337,,0.8988193986798073,-0.0463275630345255,1212786.5060017488,396183.8262005124,816602.6798012364,5.912010800790235,2.0611711680222555,0.31411405885384736,-0.111
Ye2024,2073731092380226816,5383022,-4.9398,0.0113,7.1,6221,0.487777,0.12,0.02,1.22,1.33,10.648698264908191,,0.6667481623925244,-0.17603817258429744,975556.758513097,770396.7100207937,205160.04849230323,5.312092793044999,0.2663044192994617,-0.5746216264208226,0.449
Ye2024,2073760641755941888,5555994,-4.8559,0.0123,5.01,6358,0.447348,0.06,0.02,1.38,2.12,8.730003855438706,,0.5738829080675398,-0.24117670963619184,1291200.9322487984,898275.7824240633,392925.1498247351,5.5943098274387895,0.4374215107574176,-0.3590998637914274,0.586
Ye2024,2073764902363534720,5641801,-4.5791,0.0102,13.98,5591,0.685942,0.04,0.02,0.96,3.91,15.354869714245666,,0.9104603464677975,-0.04073896440529438,1460392.8757482613,362911.658778322,1097481.2169699394,6.0403970961705475,3.0241001919431745,0.4805961757469034,-0.181
Ye2024,2073893235988180096,6147648,-4.9074,0.0099,26.09,5736,0.638422,-0.02,0.02,1.02,8.3,14.032847450821215,,1.8592092653635446,0.2693282750208185,759710.8120921989,434704.8200835606,325005.9920086383,5.511891367970561,0.7476475460892391,-0.12630308778063243,-0.036
Ye2024,2075320432133385344,5988029,-4.7195,0.016,13.24,5904,0.584845,0.06,0.03,1.08,2.05,12.87049780038931,,1.0287092391717367,0.012292640391896092,1314307.9409614354,532821.522470877,781486.4184905584,5.892921434785327,1.4666945412913062,0.16633967563968155,0.132
Ye2024,2076007420741352832,8054618,-5.0633,0.0195,29.18,5143,0.840955,0.13,0.03,0.88,4.06,17.42033268532819,,1.675054117914526,0.22402884285464048,342908.17105394905,201407.8977720285,141500.27328192056,5.150757278621549,0.7025557331524469,-0.15331921784213356,-0.629
Ye2024,2076012922605159040,8124732,-4.4374,0.0098,16.64,5572,0.69226,0.01,0.04,0.96,2.44,15.354869714245666,,1.083695290788566,0.034907186139748206,1996439.5631618677,354305.8390302728,1642133.7241315949,6.215408520193741,4.634791593122141,0.6660302105426651,-0.2
Ye2024,2076109232948658688,8260135,-5.134,0.0127,32.33,5482,0.722483,0.4,0.02,1.0,8.81,14.454397707459272,,2.236689528980922,0.3496057046115561,376155.8855587716,315878.5748837278,60277.31067504379,4.780153867646527,0.1908243086674408,-0.7193663023380041,-0.29
Ye2024,2076154587804309504,8716080,-4.6559,0.007,5.12,6162,0.505463,-0.04,0.01,1.12,3.06,12.171862643132958,,0.42064227555907957,-0.3760870818175946,1805504.2395754294,720340.6817630108,1085163.5578124186,6.035495200767112,1.5064587982959887,0.17795725820161545,0.39
Ye2024,2076324874666583936,4851239,-4.6144,0.0075,8.04,5683,0.655651,-0.07,0.02,0.96,4.05,15.354869714245666,,0.5236123880973599,-0.28099008706650574,1437217.0503829455,407166.909043728,1030050.1413392174,6.012858366041982,2.5297982681313482,0.4030858909266328,-0.089
Ye2024,2076371706991498368,4850194,-4.7053,0.0077,21.94,5860,0.598728,-0.12,0.02,0.98,3.09,14.894693714546571,,1.4730077986479702,0.16820504616429688,1317959.9121384243,505449.9907441835,812509.9213942408,5.90982867276533,1.6074981427894919,0.20615047983778917,0.088
Ye2024,2076372222387623808,4850488,-4.6187,0.0117,8.78,5766,0.628741,0.24,0.02,1.1,3.58,12.514101920504952,,0.7016084778415901,-0.1539051718404537,1508031.068012323,450989.2586418569,1057041.809370466,6.024092165377232,2.3438292356534642,0.3699259671092991,-0.006
Ye2024,2076373974734337152,4938988,-4.7292,0.0085,8.92,6198,0.494651,-0.28,0.02,1.18,4.0,11.222913527863295,,0.7948025241265723,-0.09974076233159679,1561054.3515194722,750539.5489695796,810514.8025498926,5.908760950840342,1.0799095179763056,0.033387368922329436,0.426
Ye2024,2076656239982246400,5631073,-4.5909,0.005,6.94,5499,0.716736,0.09,0.01,0.96,3.78,15.354869714245666,,0.4519738772880197,-0.34488666536010204,1329984.6094529652,322849.5785098138,1007135.0309431513,6.003087702194182,3.11951787452167,0.49408747843693435,-0.273
