angDist,_RAJ2000,_DEJ2000,Gaia,RAJ2000,DEJ2000,SNR-G,Teff,e_Teff,logg,e_logg,FeH,e_FeH,a/Fe,e_a/Fe,GMag,e_GMag,LFlame,e_LFlame,KIC,Prot,e_Prot,Sph,e_Sph,S-index,e_S-index,SNR,logRHK,e_logRHK,Mass,e_Mass,Age,e_Age,DR7,Simbad,_RAJ2000,_DEJ2000,KOI,Svalue,logRHK,S/N,Prot,logAge,Qual,f_Qual,Protph,q_Protph,Simbad,_RA,_DE
0.074124,290.60806,37.80189,2052604113883227904,290.60806,37.80189,101.28,5856,13,4.34,0.03,0.03,0.03,0.0,0.02,4.36,0.04,1.0,0.02,,,,,,0.167,0.008,100.89,-5.0422,0.0202,1.06,0.02,4.7,0.72,DR7,Simbad,290.6080817,37.8019014,K04581,0.143,-5.117,10.4,29.182,9.9205,1.0,ok,,1,Simbad,290.60808,37.8019
0.035132,288.86823,47.75943,2130920471701096576,288.86823,47.75943,173.06,5668,8,4.2,0.02,-0.33,0.02,0.17,0.01,4.47,0.01,1.0,0.01,,,,,,0.168,0.004,173.08,-5.035,0.0111,0.9,0.01,12.6,0.24,DR7,Simbad,288.8682261,47.7594206,K01162,0.148,-5.084,10.2,35.644,9.8743,1.0,ok,,1,Simbad,288.86823,47.75942
1.883994,294.8359,48.98218,2134799956739883008,294.8359,48.98218,122.81,5834,11,4.11,0.02,0.14,0.03,0.02,0.01,3.45,0.06,3.0,0.04,11250587,17.26,1.77,103.6,5.5,,,,,,1.16,0.06,6.3,0.07,DR7,Simbad,294.8351508,48.9823592,K00107,0.126,-5.287,8.2,30.816,10.138,0.0,bad_seeing,17.42,3,Simbad,294.83515,48.98236
0.083474,296.13281,48.9774,2134849984518946816,296.13281,48.9774,109.11,5546,11,4.44,0.02,0.13,0.03,0.01,0.01,4.98,0.01,0.7,0.008,11253827,13.06,0.98,6879.7,245.2,,,,,,0.98,0.03,3.74,0.48,DR7,Simbad,296.1327964,48.9773786,K02672,0.329,-4.498,27.6,11.027,8.9465,1.0,ok,13.31,3,Simbad,296.1328,48.97738
0.079410,292.53082,49.06171,2129700009493397504,292.53082,49.06171,96.46,5837,14,4.5,0.03,-0.01,0.04,-0.01,0.02,4.65,0.02,1.0,0.01,11298298,13.5,1.23,1823.9,67.1,,,,,,1.02,0.04,2.69,0.79,DR7,Simbad,292.5308342,49.06173,K01802,0.223,-4.698,9.2,13.388,9.2712,1.0,ok,14.01,3,Simbad,292.53083,49.06173
0.045339,292.08478,49.23747,2129759932877111296,292.08478,49.23747,80.66,5338,16,4.42,0.03,0.11,0.04,0.01,0.01,5.32,0.02,0.6,0.009,11403339,29.79,5.51,656.6,18.9,,,,,,0.92,0.04,5.86,1.55,DR7,Simbad,292.0847911,49.2374597,K02143,0.166,-5.0,6.7,41.016,9.7478,0.0,bad_seeing,30.68,2,Simbad,292.08479,49.23746
0.070906,295.57159,49.60748,2134929973989867520,295.57159,49.60748,104.87,5867,13,4.42,0.03,-0.02,0.03,0.03,0.01,4.63,0.03,1.0,0.03,11618569,15.36,2.48,205.6,11.9,,,,,,1.02,0.03,3.25,0.77,DR7,Simbad,295.5715611,49.6074739,K04792,0.162,-4.975,10.0,22.3,9.709,1.0,ok,16.41,2,Simbad,295.57156,49.60747
0.040893,296.56667,49.69625,2134889979254407168,296.56667,49.69625,70.32,6072,21,4.27,0.04,0.07,0.05,0.04,0.02,3.89,0.07,2.0,0.09,11621223,10.08,1.08,80.8,7.1,,,,,,1.18,0.05,3.51,0.41,DR7,Simbad,296.5666597,49.6962408,K00355,0.123,-5.326,9.1,20.326,10.1813,1.0,ok,10.8,2,Simbad,296.56666,49.69624
0.096647,297.48691,49.62345,2087169937658347520,297.48691,49.62345,302.31,5497,4,4.54,0.01,-0.13,0.01,0.03,0.01,5.16,0.02,0.6,0.008,11623629,24.1,4.58,313.8,10.4,,,,,,0.88,0.03,7.17,0.08,DR7,Simbad,297.4868778,49.6234331,K00365,0.183,-4.917,27.6,34.578,9.6166,1.0,ok,16.06,2,Simbad,297.48688,49.62343
0.122042,293.86526,49.80029,2135070024283455488,293.86526,49.80029,93.04,5534,14,4.29,0.03,-0.14,0.04,0.11,0.01,4.8,0.05,0.9,0.03,11716643,18.74,2.77,178.9,11.5,,,,,,0.88,0.03,13.64,0.63,DR7,Simbad,293.8652603,49.8002561,K05929,0.18,-4.928,6.6,35.009,9.6355,1.0,ok,37.72,2,Simbad,293.86526,49.80026
0.100815,295.18162,49.94578,2134950040077074432,295.18162,49.94578,53.14,5376,25,4.5,0.05,0.09,0.06,-0.01,0.02,5.27,0.05,0.6,0.008,11769890,21.51,1.85,1995.6,58.6,,,,,,0.94,0.06,3.33,1.93,DR7,Simbad,295.1816547,49.9457969,K01980,0.234,-4.75,7.7,26.425,9.3513,1.0,ok,22.49,3,Simbad,295.18165,49.9458
0.091336,295.84653,49.93613,2134959935681724416,295.84653,49.93613,68.27,5785,18,4.23,0.04,0.26,0.04,0.03,0.02,4.13,0.02,2.0,0.03,11771430,20.06,2.41,106.9,6.4,,,,,,1.14,0.03,5.02,0.77,DR7,Simbad,295.8465006,49.9361469,K02582,0.127,-5.272,9.0,33.949,10.1208,1.0,ok,,1,Simbad,295.8465,49.93615
0.010104,294.35091,50.08108,2135099985975312384,294.35091,50.08108,82.01,5354,15,4.39,0.03,0.17,0.04,0.01,0.01,5.19,0.01,0.6,0.007,11818872,29.59,2.63,929.4,24.4,,,,,,0.94,0.04,7.16,1.09,DR7,Simbad,294.3509097,50.0810772,K02581,0.188,-4.901,8.6,34.138,9.5899,1.0,ok,28.86,3,Simbad,294.35091,50.08108
0.087365,282.21292,46.71783,2119511080054847616,282.21292,46.71783,139.34,5480,9,4.17,0.02,0.27,0.02,0.01,0.01,4.45,0.02,1.0,0.01,,,,,,0.166,0.006,138.11,-5.0864,0.015,1.02,0.01,10.13,0.26,DR7,Simbad,282.2129531,46.7178214,K00717,0.131,-5.226,8.8,45.302,10.0658,1.0,ok,,0,Simbad,282.21295,46.71782
0.083085,296.23001,50.27523,2135299959652614144,296.23001,50.27523,153.55,5984,9,4.49,0.02,-0.16,0.02,0.04,0.01,4.57,0.01,1.0,0.01,11923284,9.55,0.99,1675.3,73.4,,,,,,1.02,0.01,2.42,0.31,DR7,Simbad,296.2300044,50.2752072,K02026,0.199,-4.776,10.5,13.54,9.3913,1.0,ok,9.83,3,Simbad,296.23,50.27521
0.043787,292.42108,37.68282,2051842839520109568,292.42108,37.68282,136.39,6146,10,4.21,0.02,0.03,0.03,0.03,0.02,3.78,0.02,2.0,0.04,,,,,,0.162,0.005,136.39,-5.1376,0.0124,1.2,0.01,3.27,0.19,DR7,Simbad,292.4210758,37.6828083,K02053,0.128,-5.247,11.5,18.285,10.0925,1.0,ok,10.24,2,Simbad,292.42108,37.68281
